countryName,stateName,cityName,uniName,commission,commissionType,logoUrl,website,aboutUs,address,coverImageUrl,campusLifeLinks
United Kingdom,England,London,Demo University London 1,17,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
United Kingdom,England,Manchester,Demo University Manchester 2,20,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
United Kingdom,Scotland,Edinburgh,Demo University Edinburgh 3,20,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
United Kingdom,Wales,Cardiff,Demo University Cardiff 4,12,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Canada,Ontario,Toronto,Demo University Toronto 5,1905,AMOUNT,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Canada,Ontario,Ottawa,Demo University Ottawa 6,24,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Canada,British Columbia,Vancouver,Demo University Vancouver 7,20,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Canada,Quebec,Montreal,Demo University Montreal 8,13,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Australia,New South Wales,Sydney,Demo University Sydney 9,4597,AMOUNT,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Australia,Victoria,Melbourne,Demo University Melbourne 10,22,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
Australia,Queensland,Brisbane,Demo University Brisbane 11,14,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
United States,California,Los Angeles,Demo University Los Angeles 12,10,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
United States,California,San Francisco,Demo University San Francisco 13,24,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc
